major1,major2,minor1,minor2,IPEDS.Race.Ethnicity,Gender,GPA.Range,Term.Code,survey_city,survey_company,survey_deptfunc,survey_offers,survey_plans,survey_pref_field,survey_pref_loc,survey_salary,survey_state
Finance,none,Business Analytics,Business Analytics,White,Male,3.00 - 3.49,201920,Buffalo,M&T Bank,Unknown,1,accepted fulltime job,Yes,None,55000.0,NY
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202110,Columbus,KPMG,Consulting,2,accepted fulltime job,Yes,Yes,60000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Atlanta,The Home Depot,Unknown,2,accepted fulltime job,Yes,Yes,65000.0,GA
Finance,none,Humanities,Humanities,White,Female,2.50 - 2.99,202110,Covington,Fidelity Investments,Unknown,None,accepted fulltime job,None,None,45000.0,KY
Accountancy,none,Humanities,Humanities,White,Female,3.00 - 3.49,202120,Dallas,RSM,Accounting,1,accepted fulltime job,Yes,Yes,59000.0,TX
Accountancy,none,Marketing,No Minor,White,Female,3.50 - 4.00,201920,Cleveland,Ernst and Young,Accounting,1,accepted fulltime job,Yes,Yes,51000.0,OH
Marketing,none,No Minor,No Minor,White,Female,2.50 - 2.99,201920,Chicago,The Chamberlain Group,Marketing / Sales,3,accepted fulltime job,Yes,Yes,54000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Columbus,Abercrombie & Fitch,Marketing / Sales,1,accepted fulltime job,Yes,No,62500.0,OH
Marketing,none,Business Analytics,Interactive Media Studies,White,Female,3.00 - 3.49,201920,Chicago,CVS Health,"Accounting
 Finance",2,accepted fulltime job,Yes,Yes,54000.0,IL
Finance,none,Engineering/Science,No Minor,White,Male,3.00 - 3.49,202120,Chicago,CIBC,Unknown,2,accepted fulltime job,Yes,Yes,60000.0,IL
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Las Vegas,Cintas,Unknown,2,accepted fulltime job,Yes,Yes,50000.0,NV
Finance,none,Accountancy,No Minor,White,Female,3.00 - 3.49,202020,Indianapolis,"Cummins, Inc.",Finance,1,accepted fulltime job,Yes,Yes,60000.0,IN
Business Economics,Marketing,Language,Language,White,Female,3.50 - 4.00,201920,Cleveland,Insight2Profit,"Analytics
 Consulting",1,accepted fulltime job,Yes,Yes,58000.0,OH
Marketing,none,No Minor,No Minor,American Indian or Alaska Native,Female,3.00 - 3.49,201920,Chicago,Coyote Logistics,Marketing / Sales,1,accepted fulltime job,Yes,Yes,40000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Milwaukee,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,53000.0,WI
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,boston,Fairway Mortgage,Finance Marketing / Sales,2,accepted fulltime job,Yes,Yes,45000.0,MA
Supply Chain & Operations Mgmt,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,Detroit,General Motors,"Analytics
 Logistics / Supply Chain
 Operations / Procurement",3,accepted fulltime job,Yes,Yes,75000.0,MI
Accountancy,Business Analytics,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Denver,PwC,Unknown,2,accepted fulltime job,Yes,Yes,55000.0,CO
Marketing,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Columbus,JP Morgan Chase,Unknown,None,accepted fulltime job,None,None,59000.0,OH
Finance,none,No Minor,No Minor,Hispanic/Latino,Male,2.50 - 2.99,202030,Durham,Nutanix,Unknown,None,accepted fulltime job,None,None,58120.19679571174,NC
Marketing,none,Interactive Media Studies,No Minor,Black or African American,Male,3.00 - 3.49,201920,Chicago,Publicis Sapient,Marketing/Sales,4,accepted fulltime job,No,Yes,50000.0,IL
Finance,none,Business Analytics,Business Analytics,White,Female,3.50 - 4.00,202020,Cincinnati,Fifth Third Bank,Analytics,3,accepted fulltime job,Yes,Yes,90000.0,OH
Supply Chain & Operations Mgmt,none,Language,Language,White,Female,3.50 - 4.00,202120,Chicago,McDonald's Corporation,Logistics / Supply Chain,2,accepted fulltime job,Yes,Yes,64500.0,IL
Finance,none,Accountancy,Accountancy,White,Female,3.50 - 4.00,202120,Chicago,RSM,Accounting Consulting Finance,2,accepted fulltime job,Yes,Yes,66200.0,IL
Information Systems,none,Language,Language,White,Female,3.50 - 4.00,201920,Cincinnati,GE Aviation,Information Technology,2,accepted fulltime job,Yes,Yes,82000.0,OH
Supply Chain & Operations Mgmt,none,Information Security,No Minor,White,Male,3.50 - 4.00,202020,Columbus,KPMG,Consulting IT Assurance / IT Audit Information Technology,2,accepted fulltime job,Yes,Yes,65000.0,OH
Marketing,none,International Business,International Business,White,Male,3.00 - 3.49,202120,Cincinnati,G3 Marketing,Unknown,2,accepted fulltime job,None,None,40000.0,OH
Marketing,none,Mangement and Leadership,No Minor,White,Female,3.00 - 3.49,202020,Cincinnati,Target,Unknown,None,accepted fulltime job,None,None,64000.0,OH
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,SThree,"Human Resources
 Marketing / Sales",3,accepted fulltime job,Yes,Yes,40000.0,IL
Supply Chain & Operations Mgmt,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,202020,Dallas,DHL,Analytics General Management Logistics / Supply Chain Operations / Procurement,1,accepted fulltime job,Yes,Yes,52500.0,TX
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Columbus,TQL,Marketing / Sales,1,accepted fulltime job,No,Yes,58120.19679571174,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Indianpolis,PFL - Orr Fellowship,Marketing / Sales,1,accepted fulltime job,Yes,Yes,50000.0,IN
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Columbus,Nationwide,"Accounting
 Finance",1,accepted fulltime job,Yes,Yes,67500.0,OH
Finance,none,Marketing,No Minor,White,Female,3.00 - 3.49,201920,Columbus,Clearsulting,Consulting,4,accepted fulltime job,Yes,Yes,50000.0,OH
Accountancy,Finance,Information Systems,Math/Stat,White,Male,3.50 - 4.00,202020,Cincinnati,Deloitte,Accounting Finance,0,accepted fulltime job,Yes,Yes,52000.0,OH
Management and Leadership,Supply Chain & Operations Mgmt,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Minneapolis,Medtronic,E&J Gallo,1,accepted fulltime job,Yes,Yes,60500.0,MN
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Columbus,Huntington National Bank,Human Resources,1,accepted fulltime job,Yes,Yes,53000.0,OH
Accountancy,Finance,No Minor,No Minor,Black or African American,Male,3.50 - 4.00,202020,Seattle,Microsoft,Accounting Finance,4,accepted fulltime job,Yes,Yes,85000.0,WA
Accountancy,none,Mangement and Leadership,No Minor,White,Female,3.50 - 4.00,202120,Cincinnati,EY,Accounting,1,accepted fulltime job,Yes,Yes,53000.0,OH
Business Economics,none,Political Science,No Minor,White,Male,2.00 - 2.49,202010,Washington D.C,Booz Allen Hamilton,Consulting,0,accepted fulltime job,Yes,Yes,61700.0,DC
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Chicago,Coyote Logistics,Marketing / Sales,1,accepted fulltime job,Yes,Yes,45000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Charlotte,Florida Panthers,Other: Professional Athletics,10,accepted fulltime job,Yes,Yes,70000.0,NC
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,OMD USA,Unknown,None,accepted fulltime job,None,None,50000.0,IL
Information Systems,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Origami Risk,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Finance,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,202020,Denver,Integro,Unknown,0,accepted fulltime job,None,None,58120.19679571174,CO
Information Systems,none,Mangement and Leadership,Mangement and Leadership,White,Male,3.00 - 3.49,202120,Chicago,Peloton Consulting Group,Consulting Human Resources Information Technology,2,accepted fulltime job,Yes,Yes,62000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Columbus,DHL,Marketing / Sales,3,accepted fulltime job,Yes,Yes,40000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Brooklyn Heights,North shore strapping,Logistics / Supply Chain Marketing / Sales,2,accepted fulltime job,No,Yes,58120.19679571174,OH
Finance,none,Political Science,Political Science,White,Male,3.00 - 3.49,202120,New York City,JP Morgan,Finance,1,accepted fulltime job,Yes,Yes,84000.0,NY
Marketing,none,Interactive Media Studies,No Minor,White,Male,3.00 - 3.49,201920,San Francisco,SocialChorus,Marketing/Sales,None,accepted fulltime job,No,Yes,58120.19679571174,CA
Finance,none,Accountancy,No Minor,White,Male,3.50 - 4.00,202020,Chicago,Prudential Private Capital,Finance,3,accepted fulltime job,Yes,Yes,70000.0,IL
Finance,none,Interactive Media Studies,Interactive Media Studies,White,Female,3.50 - 4.00,202020,Chicago,Harrison Street,Finance,3,accepted fulltime job,Yes,Yes,65000.0,IL
Finance,Information Systems,Business Analytics,Business Analytics,White,Female,3.00 - 3.49,202020,Jersey city,Peloton Consulting Group,Consulting Information Technology,1,accepted fulltime job,Yes,Yes,65000.0,NJ
Marketing,none,Humanities,No Minor,White,Male,2.50 - 2.99,201920,Cincinnati,Total Quality Logistics,Unknown,None,accepted fulltime job,None,None,35000.0,OH
Marketing,none,Supply Chain Management,No Minor,White,Female,3.00 - 3.49,201920,Unknown,LBrands,Logistics / Supply Chain,3,accepted fulltime job,Yes,Yes,60000.0,OH
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Cincinnati,GE Aviation,IT Assurance / IT Audit Information Technology Other: Development Program,2,accepted fulltime job,Yes,Yes,80000.0,OH
Accountancy,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Cincinnati,Protiviti,Unknown,0,accepted fulltime job,Yes,Yes,58120.19679571174,OH
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Burlington,Burlington Stores,Other: Fashion,3,accepted fulltime job,Yes,Yes,58000.0,NJ
Finance,none,No Minor,No Minor,White,Male,3.50 - 4.00,202120,Dublin,The Sygma Network,Unknown,1,accepted fulltime job,Yes,Yes,60000.0,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,2.50 - 2.99,201920,Chicago,Load Delivered Logistics,Logistics / Supply Chain,2,accepted fulltime job,Yes,Yes,40000.0,IL
Marketing,none,Arts Related,No Minor,White,Female,3.50 - 4.00,202020,Cincinnati,Delight Ministries,Unknown,None,accepted fulltime job,None,None,58120.19679571174,OH
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Columbus,Deloitte,Unknown,None,accepted fulltime job,None,None,53000.0,OH
Finance,none,No Minor,No Minor,Multi Racial,Female,3.00 - 3.49,201930,Unknown,Goldman Sachs,Other: Risk,None,accepted fulltime job,Yes,Yes,70000.0,UT
Business Economics,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Charlotte,Red Ventures,Analytics Consulting Marketing / Sales,3,accepted fulltime job,Yes,Yes,65000.0,NC
Accountancy,none,Information Systems,No Minor,White,Male,3.50 - 4.00,202120,Chicago,PwC,Accounting Consulting Finance IT Assurance / IT Audit Information Technology,1,accepted fulltime job,Yes,Yes,62000.0,IL
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,Chicago,Arrive Logistics,Marketing / Sales,1,accepted fulltime job,No,Yes,42000.0,IL
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,St. Louis,Rubinbrown Advisors,Unknown,0,accepted fulltime job,None,None,58120.19679571174,MO
Human Capital Mgmt& Leadership,none,Entrepreneurship,No Minor,White,Female,3.00 - 3.49,202110,Plymouth,Frito Lay,General Management Operations / Procurement,1,accepted fulltime job,Yes,Yes,67000.0,MI
Information Systems,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,West Carrollton,Insight Enterprises,Information Technology,1,accepted fulltime job,Yes,Yes,65000.0,OH
Accountancy,none,Humanities,Humanities,White,Male,3.50 - 4.00,202120,Cleveland,Crowe,Unknown,None,accepted fulltime job,None,None,57000.0,OH
Management and Leadership,none,No Minor,No Minor,White,Male,2.50 - 2.99,201920,Chicago,Peloton Group Consulting,Consulting,None,accepted fulltime job,Yes,Yes,60000.0,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Des Moines,Bank Iowa Corporation,Finance,2,accepted fulltime job,Yes,Yes,50000.0,IA
Accountancy,Finance,Humanities,Humanities,White,Male,3.50 - 4.00,201920,Cleveland,Deloitte,Consulting,2,accepted fulltime job,Yes,Yes,80000.0,OH
Finance,none,Humanities,Humanities,Multi Racial,Female,3.00 - 3.49,202120,Chicago,Crowe LLP,Accounting Consulting Finance,1,accepted fulltime job,Yes,Yes,69000.0,IL
Accountancy,none,Language,Language,White,Male,3.50 - 4.00,201920,Chicago,EY,Accounting,4,accepted fulltime job,Yes,Yes,63000.0,IL
Finance,none,No Minor,No Minor,Non-Resident Alien,Female,3.00 - 3.49,202120,New York City,EY,Consulting Finance,2,accepted fulltime job,Yes,Yes,72500.0,NY
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Pittsburgh,PwC,Accounting,1,accepted fulltime job,Yes,Yes,50000.0,PA
Supply Chain & Operations Mgmt,none,No Minor,No Minor,Black or African American,Male,3.50 - 4.00,201920,Columbus,DHL,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,52500.0,OH
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Augusta,Textron,Unknown,1,accepted fulltime job,Yes,Yes,60000.0,GA
Finance,none,No Minor,No Minor,White,Male,2.50 - 2.99,202020,Cleveland,Quicken Loans,Unknown,None,accepted fulltime job,None,None,45000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Columbus,Abercrombie,Merchandizing,1,accepted fulltime job,Yes,Yes,62500.0,OH
Supply Chain & Operations Mgmt,none,Humanities,Humanities,White,Male,2.50 - 2.99,202120,Columbus,DHL Supply Chain,Unknown,2,accepted fulltime job,Yes,Yes,58120.19679571174,OH
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Raymond,Honda of America Manufacturing,Operations / Procurement,1,accepted fulltime job,Yes,Yes,54900.0,OH
Finance,none,No Minor,No Minor,White,Female,3.50 - 4.00,202020,Chicago,Accenture,Consulting,1,accepted fulltime job,Yes,Yes,79500.0,IL
Management and Leadership,none,Humanities,No Minor,White,Male,2.50 - 2.99,201930,Chicago,Arrive Logistics,Marketing/Sales,3,accepted fulltime job,Yes,Yes,44000.0,IL
Marketing,none,Information Security,Language,White,Male,3.00 - 3.49,202020,Chicago,KellyMitchell Group,Unknown,None,accepted fulltime job,None,None,58120.19679571174,IL
Business Economics,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Chicago,The Hackett Group,Consulting,4,accepted fulltime job,Yes,Yes,73000.0,IL
Marketing,none,Humanities,Humanities,White,Female,3.50 - 4.00,201920,Kettering,Reynolds and Reynolds,Marketing / Sales,2,accepted fulltime job,Yes,Yes,38000.0,OH
Human Capital Mgmt& Leadership,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Chicago,BearingPoint,Unknown,4,accepted fulltime job,Yes,Yes,70000.0,IL
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Columbus,Ernst and Young,Accounting,1,accepted fulltime job,Yes,Yes,51000.0,OH
Supply Chain & Operations Mgmt,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,Twinsburg,Rock Well,Logistics/Supply Chain,2,accepted fulltime job,Yes,Yes,52000.0,OH
Marketing,none,Supply Chain Management,No Minor,White,Male,2.50 - 2.99,202020,San Diego,Flock Freight,Unknown,0,accepted fulltime job,None,None,58120.19679571174,CA
Finance,Marketing,No Minor,No Minor,Non-Resident Alien,Male,3.50 - 4.00,202020,Cleveland,Quicken Loans,Finance Marketing / Sales,2,accepted fulltime job,Yes,Yes,45000.0,OH
Marketing,none,Sport Management,No Minor,White,Male,3.00 - 3.49,202120,Cleveland,PepsiCo,Unknown,2,accepted fulltime job,Yes,No,65000.0,OH
Accountancy,none,Mangement and Leadership,No Minor,White,Female,3.00 - 3.49,202020,Columbus,Huntington National Bank,Accounting,1,accepted fulltime job,Yes,Yes,58000.0,OH
Accountancy,none,Supply Chain Management,No Minor,White,Male,3.00 - 3.49,202110,Carmel,"Dauby, O'Connor & Zaleski",Accounting,2,accepted fulltime job,Yes,No,57500.0,IN
Accountancy,none,Humanities,Humanities,White,Male,3.00 - 3.49,202020,Cleveland,RSM,Accounting,2,accepted fulltime job,Yes,Yes,56000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,202120,Remote,Cigna,Marketing / Sales,1,accepted fulltime job,Yes,Yes,55000.0,REMOTE
Finance,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,Chicago,J.P Morgan,Finance,2,accepted fulltime job,Yes,Yes,95000.0,IL
Finance,none,Business Analytics,No Minor,White,Male,3.50 - 4.00,201920,Columbus,JPMorgan Chase & Co.,"Finance
 General Management",1,accepted fulltime job,Yes,Yes,57000.0,OH
Business Analytics,none,Sport Management,No Minor,White,Male,3.00 - 3.49,202120,Brooklyn,Underdog Fantasy,Analytics Operations / Procurement,2,accepted fulltime job,Yes,Yes,60000.0,NY
Marketing,none,Arts Related,No Minor,White,Female,3.50 - 4.00,202120,Minneapolis,Cintas,General Management Logistics / Supply Chain Marketing / Sales,1,accepted fulltime job,Yes,Yes,50000.0,MN
Marketing,none,Media Related,No Minor,White,Male,3.00 - 3.49,202020,Rolling Meadows,Merrill Edge,Unknown,0,accepted fulltime job,None,None,58120.19679571174,IL
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Fifth Third Bank,Finance,1,accepted fulltime job,Yes,Yes,62000.0,IL
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Male,2.50 - 2.99,202120,Middletown,Cleveland cliffs,Logistics / Supply Chain,6,accepted fulltime job,Yes,Yes,65000.0,OH
Marketing,none,Entrepreneurship,Entrepreneurship,White,Male,3.00 - 3.49,201920,Oak Brook,CBRE,Other: Brokerage,2,accepted fulltime job,Yes,Yes,60000.0,IL
Finance,Marketing,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Chicago,JPMorgan Chase,Finance,1,accepted fulltime job,Yes,Yes,65000.0,IL
Supply Chain & Operations Mgmt,none,Sport Management,Sport Management,Hispanic/Latino,Male,3.50 - 4.00,202110,"Springfield, OH",ALDI USA,General Management,1,accepted fulltime job,Yes,Yes,80000.0,OH
Marketing,none,No Minor,No Minor,White,Male,3.50 - 4.00,202115,Chicago,Accenture,Consulting,2,accepted fulltime job,Yes,Yes,80000.0,IL
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,202120,Manhattan,VTS Inc.,Marketing / Sales,1,accepted fulltime job,Yes,Yes,65000.0,NY
Supply Chain & Operations Mgmt,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Marietta,Peoples Bank,Unknown,0,accepted fulltime job,None,None,58120.19679571174,OH
Marketing,none,Supply Chain Management,No Minor,White,Female,3.00 - 3.49,202120,Pittsburgh,American Eagle Outfitters,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,52000.0,PA
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,New York City,Oppenheimer & Co Inc.,Unknown,None,accepted fulltime job,None,None,58120.19679571174,NY
Finance,none,Accountancy,Accountancy,White,Male,3.00 - 3.49,202120,Cincinnati,Skylight Financial Group,Unknown,None,accepted fulltime job,None,None,65000.0,OH
Information Systems,none,Entrepreneurship,Entrepreneurship,White,Male,3.50 - 4.00,201920,Cincinnati,Grant Thornton,IT Assurance / IT Audit,1,accepted fulltime job,Yes,Yes,55000.0,OH
Finance,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,202020,Columbus,KPMG,Accounting Consulting IT Assurance / IT Audit,2,accepted fulltime job,Yes,Yes,60000.0,OH
Marketing,none,Media Related,Media Related,White,Female,3.50 - 4.00,202120,Columbus,Victoria's Secret,Other: Merchandising,2,accepted fulltime job,Yes,Yes,60000.0,OH
Accountancy,Finance,No Minor,No Minor,White,Male,3.50 - 4.00,201920,Chicago,Peloton Consulting Group,"Accounting
 Consulting
 Finance",3,accepted fulltime job,Yes,Yes,60000.0,IL
Supply Chain & Operations Mgmt,none,Mangement and Leadership,No Minor,White,Female,3.00 - 3.49,201920,Cincinnati,Terillium,Logistics / Supply Chain,1,accepted fulltime job,Yes,Yes,55000.0,OH
Finance,none,Accountancy,No Minor,White,Male,3.00 - 3.49,202020,Chicago,AON,Accounting Analytics Finance,1,accepted fulltime job,Yes,Yes,58000.0,IL
Marketing,none,Language,No Minor,White,Male,3.00 - 3.49,202020,Chicago,CDW,Marketing / Sales,1,accepted fulltime job,Yes,Yes,30000.0,IL
Information Systems,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Chicago,Unknown,Consulting,2,accepted fulltime job,Yes,Yes,58120.19679571174,IL
Accountancy,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Charlotte,Deloitte,Accounting,3,accepted fulltime job,Yes,Yes,53000.0,NC
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Chicago,Fifth Third Bank,Finance,2,accepted fulltime job,Yes,Yes,63000.0,IL
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Cincinnati,Carew International,Unknown,0,accepted fulltime job,None,None,58120.19679571174,OH
Finance,none,No Minor,No Minor,White,Female,3.00 - 3.49,202020,Rochester,JP Morgan,Finance,2,accepted fulltime job,Yes,No,75000.0,NY
Accountancy,none,Mangement and Leadership,Mangement and Leadership,Non-Resident Alien,Female,2.50 - 2.99,201920,Bellevue,Microsoft,"Finance
 Marketing / Sales
 Operations / Procurement",1,accepted fulltime job,Yes,Yes,90500.0,WA
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Cleveland,BellMark Partners,Finance,1,accepted fulltime job,Yes,Yes,65000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.00 - 3.49,201920,Indianapolis,Comcast,"Advertising / Public Relations
 Marketing / Sales",3,accepted fulltime job,Yes,Yes,40000.0,IN
Information Systems,none,Humanities,No Minor,White,Male,3.00 - 3.49,201920,Cincinnati,Mind the Value,Consulting,1,accepted fulltime job,Yes,Yes,52000.0,OH
Marketing,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Pittsburgh,Target,"General Management
 Marketing / Sales",1,accepted fulltime job,Yes,Yes,52000.0,PA
Finance,none,No Minor,No Minor,White,Male,3.00 - 3.49,202020,Chicago,Oracle Netsuite,Unknown,None,accepted fulltime job,None,None,52500.0,IL
Finance,none,Humanities,No Minor,White,Male,3.50 - 4.00,202120,Arlington,Ryan LLC,Unknown,1,accepted fulltime job,Yes,Yes,58300.0,VA
Accountancy,none,No Minor,No Minor,White,Male,3.50 - 4.00,202020,Chicago,Deloitte,Accounting,1,accepted fulltime job,Yes,Yes,70000.0,IL
Finance,none,Business Analytics,No Minor,White,Male,3.00 - 3.49,201920,Lisle,Navistar,Unknown,1,accepted fulltime job,Yes,None,62000.0,IL
Business Economics,Finance,No Minor,No Minor,White,Male,3.00 - 3.49,202120,Cincinnati,FIS,Finance,2,accepted fulltime job,Yes,Yes,55000.0,OH
Marketing,none,No Minor,No Minor,White,Male,3.00 - 3.49,201920,Denver,Coyote Logistics,Marketing/Sales,1,accepted fulltime job,Yes,Yes,40000.0,CO
Management and Leadership,none,Marketing,Marketing,White,Female,3.50 - 4.00,202020,Cincinnati,Insight Global,Human Resources Marketing / Sales,1,accepted fulltime job,Yes,Yes,52200.0,OH
Business Economics,Business Analytics,No Minor,No Minor,White,Male,3.00 - 3.49,202130,Cincinnati,Deloitte Consulting,Consulting,4,accepted fulltime job,Yes,No,70000.0,OH
Business Economics,none,No Minor,No Minor,White,Female,3.50 - 4.00,201920,Hebron,FTJ FundChoice,Finance,1,accepted fulltime job,Yes,Yes,58120.19679571174,KY
Finance,none,Arts Related,Arts Related,White,Female,3.00 - 3.49,202120,Los Angeles,Burlington Stores,Finance Other: Fashion,1,accepted fulltime job,Yes,Yes,58500.0,CA
